title,sentence,score
Great when it works!!,"Worked great for first couple years then one side quit working in the pad we reversed the controls and proved it was in the pad, customer service was great replaced pad under warranty, went one year one side of control quit working, haven't tryed for warranty yet, but discouraging that you have to go through all this, looking for a new one but a different brand.Electricity underneath you, better be made better than this kinda scarey when you think about it, put in a arc safe electrical breaker for outlets there plugged into to be safe, a new code in most states.",0
My 7 & 4 year olds love these,My children love the Dukes of Hazzard. The toys are hard to come by. We looked all over for Dukes of Hazzard stuff and never could find any. When I discovered them on here I was so excited. It was a great surprise for my 7 year old when he opened these at christmas.,1
"Great Story of a Man & an Athlete, When Baseball was Still Fun","A great story of a fine human being and baseball star. This book also gives you a flavor of the era that Clemente played in. A time when baseball was fun, and the players were more dedicated. This isn't a great book, but is well worth reading. If you love baseball, you'll find this a great read.",1
Don't waste your money,"The Secret is not a secret. It is a compilation of ""wisdom"" readily attainable elsewhere in numerous other books or my attending a liberal ""positive thinking"" Christian churches.She simply has copied traditional ""common sense"" material and put it in a book - I call that cheating, but I guess it is an easy way to make money. Since none of the material is young enough to be copyrighted she gets away with it. However there are dozens of books basically saying the same thing. There is nothing different here except a nice looking cover and a decent presentation of the basic thoughts.I suggest you find an indepth class elsewhere with a cohesive philosopy behind it. If you are really curious because someone recommended it, buy it used so you won't be too disappointed. That is what I did and I am passing the book on to someone else who wants to be bored.",0
The beginning of the End.....,"I always looked at The Lamb Lies Down On Broadway the same way you could look at The Beatles ""Let It Be"", or Pink Floyd's ""The Wall""- a very good indication that it was the beginning of the end of some aspect of the band. In this case, it was Peter Gabriel leaving. I think what you have in these situations is just a matter of too much genius in one small space of a band. 4 or 5 incredible musicians, all with incredible ideas as to where they feel the band should be going artistically. This is what I feel reflected in The Lamb Lies Down On Broadway. It's not a ""bad"" album by any stretch of the imagination. The Genesis of that time period couldn't have produced bad music even if they tried. It just seems a little ""lost"" to me. Not cohesive, like their other early works. If you're new to the ""old"" Genesis, this would probably be the last album I would recommend picking up. Go to Foxtrot, Selling England, or even Nursery Crimes, before this one.",0
ok for very light duty,hose is very small ... doesn't spray very much at at time ... think next time I'll go back to home depot ... this is a pretty disappointing sprayer ... hope it lasts for my one job I bought it for,0
The Turtle Boy - Thrilling in a horrible way.,"Summer starts off pretty normal for Timmy and Pete. After Timmy and Pete see the ghost of Daryl at the pond they are told they cannot hang out together anymore or go back to the pond. Pete's father sends him off to summer camp and Timmy is left to fill his summer days alone. When Pete's father finds Timmy at the pond everything starts to unravel. What secrets are revealed to Timmy? And did Pete really go off to summer camp?This story reminded me a lot of Stephen King's ""The Body.""I will definitely be reading more from Kealan Patrick Burke.I received a complimentary copy of this book in exchange for my review.The Turtle Boy (The Timmy Quinn Series (Book One))",1
SKA FANS BEWARE!!,"This CD IS NOT by the awesome New Jersey ska band ""Catch 22."" THIS IS NOT SKA!! What this CD really is is a couple of German guys spinning some techno/dance music, and as far as I can tell has nothing to do with what some ska fans might be hoping for.",0
Don't waste your time,"Black Unicorn isn't really worth your time if you don't want to read the sequels. This book is really short, but drags everything out. Near the end there is so much confusion that I had to read it through many times in addition to asking a friend. Tanaquil, the main character, isn't the brightest person in the world. She often fails to see the obvious. The writing style is quite confusing. This isn't your average fantasy tale, it's more about a girl lost in the desert. How fun.",0
"An OK deal. (Not great, not bad.)","A 12 month membership for $40 is alright, and a much better deal than on Microsoft's own website, but there are always deals and specials going on elsewhere where you can get a membership for $5-10 less, or free bundled with some games.I would tentatively recommend, but only if have no patience for looking around the internet for deals.",1
Too noisy to use,"It is a linear actuator, and provides plenty of force at a very low price. Unfortunately for may application, it had some issues which made it unusable:1 Incredibely noisy and the noise has an extremely poor quality, like a cheap electric drill.2 Does not include a pot for positional feedback.3 Has a lot of hysteresis which means you cannot get precise, low speed movement and require a high threshold current to get the actuation started.In general, I just need a higher quality actuator and shouldn't have bought this one. Looking back, what did I expect for $120. Take this into consideration before buying.",0
Beautiful Young Ingrid Bergman in Stilted Melodrama,"This promising but ultimately disappointing melodrama from author James Hilton (""Goodbye Mr. Chips"") stars a very young and lovely Ingrid Bergman as a naive European refugee who impulsively marries a disturbed playboy (Robert Montgomery). Full of self-loathing and psychotic, he accuses Bergman of fooling around with his best friend (George Saunders) and plots their demise.This could have been a fast-paced, Hitchockian thriller, but unfortunately it falls flat. Bergman is lovely to look at but the film was marred by poor direction and a zombie-like performance by Robert Montgomery (who did a much better impersonation of a psychotic in ""Night Must Fall""). His acting is so wooden and flat that it almost ruins the film - fortunately Bergman's histrionics provide a measure of tension the story badly needs. This role foreshadows her Oscar-winning role in ""Gaslight"", with George Saunders (!) playing the Joseph Cotton role.",0
Perfect for Girls Seven to ???,"Girls who read voraciously often run out of books that are adventurous and not 'edgy', but this series will keep them going for quite a while! Color pictures, large print, short chapters, bright white paper all combine to make these titles easy on the eyes, attractive to the reader. Also try Trouble With Tink, Lily's Pesky Plant and Beck and the Great Berry Battle.",1
Not for 9MM,"I love the version of this that I use for my 38 specials but I'm not a fan of this one. It should not advertise ""9MM"". 9MM fits extremely sloppy.",0
Easy Read,It's like an all male Waiting to Exhale... Wonderful book. I especially love the ending. All I'll say is that it's not your usual storybook ending.,1
Klogs USA dark red clogs,"These clogs take some getting used to, but within the first day of wearing, they were comfortable by the end of the day.",1
No Way,"The drama of the book is very exciting, but I do not like the way the author writes. The author Zane writes better towards my liking. The way these authors write are totally different. Zane is more toward the African Americans. This author write big words I've never even heard of and the writing is just horible. The book is very enjoyable and drama filled but I can't get into it because of the way the author writes.",0
Not what I was expecting,I agree with the other person that this was a somewhat dissapointing CD. All instrumentals and no real content. Nice beats to listen to and chill with but otherwise nothing special.,0
nice little camera,"fits perfectely on every notebook, and has nice funny piece of software, that comes with it.",1
This CD is only good for the laughs.,"I bought this CD because I thought it would be interesting to hear the score of my favorite musical in another language. First of all, apparently digital technology in Korea is way behind. The entire contents of both discs are contained on a single track. So if you want to listen to ""Buenos Aires"", for instance, you have to fast forward all the way to it or just listen to all that precedes it. The music has a bit of an Asian feel to it, which is interesting, but the orchestra is horrible. They obviously recorded the whole thing in one take, because you can hear hideous mistakes, most notably toward the end of the dance interlude of ""Buenos Aires"". The first time I brought the CD home and listened to it, I laughed the whole way through it. On a positive note, most of the singers (with the grave exception of the chorus) were pretty good. However, the translation often didn't fit the meter of the music. An awful lot of money for a few good laug! hs.",0
Another gem from Daniel Lanois,"In this album Mr. Daniel Lanois further explores the styles he established in his previous record ""Shine"". Mr. Lanois plays pedal steel guitar throughout the album to create different moods. The musical pieces are different in style yet united in their dreamy and eloquent expressiveness. While listening, you feel like you are floating and smiling at the same time. The cd is a musical feast. I have to admit that I was saddened not to have at least one track in which Mr. Lanois sings, because I enjoy his voice and his lyrics, but the pleasure of listening to these eloquent instrumental pieces is more than enough. A must have if you are a fan of Mr. Lanois' work, and definitely worth listening if you know nothing about the guy. Personal recommendation: listen to two other cd's of Mr. Lanois - ""Acadie"" and ""For the Beauty of Wynona"", both masterpieces.",1
Bottle holder,"There is simply no way to fasten this product to the bike frame. The holder has two holes in it, but are you supposed to drill holes in the new bike? I would think there would be some instructions, but alas NONE.",0
I Liked This Batman Adventure A Lot!!,"I own the entire Batman The Animated Series (BTAS)on DVD, so my collection wouldn't be complete without this one.....and I liked it a lot. I'm not sure why some of the other reviewers didn't but I did. I thought that the concept was unique and that it had a great ending. Truthfully, I enjoyed it as much if not better than some of the actual BTAS episodes.The animation for the 1st 3 seasons of BTAS was superb. They changed it for the 4th season and it's been lack luster ever since. Still, despite the not so awesome animation, I liked this story!!",1
Entertaining,"This movie was okay. It was entertaining, on a purely, ""wow this is different"" note. You really have to ignore any and all science, however, to watch it to enjoy it. The special effects are fairly well rendered. The tone and pace are pretty constant and it's pretty funny if you don't take racial, gender, and political jabs too personally. If you're sensitive to jabs on these fronts, prepare to be offended. If you're a Sarah Palin fan you're going to be annoyed. I don't see any way around that.Watch it with all this in mind for a laugh, not to analyze, and you'll probably enjoy it.",0
double tank water gun,"Good idea but weak durability..after 1st session of squirting, no water would pump through and therefore no more squirting!!",0
This game [is bad],"Okay, the graphics are disgusting. The game control is horrible. It's physically impossible to block a shot, and you can never fail to steal the ball. Shooting is the worst thing in the world. The only thing that makes this worth 2 stars and not 1 star is that it has so many teams in it. I would give it 1 and a half stars, but that's not available. I would not suggest this game if you want a game that's even halfway decent. I'm glad I only spent [little money] on it used at [a local retailer], because I threw it out after 20 minutes of play.",0
Kindle wouldn't work,"Received Kindle in a timely manner, as with all my Amazon purchases, however it would never power up. Plugged it in and got a yellow light, which was supposed to turn green and never did. It also stated that you could use the Kindle while it was charging, but could not. Did all the troubleshooting examples but nothing worked. Ended up returning it. Can't decide whether to give it another try or not.",0
Problem Solver!!,We love the bendable spoon! We bent the spoon and told our daughter to look the dinosaur in the eyes when she took her bites and she was able to spoon feed perfectly.,1
"Not my favorite volume so far, but stil compelling!","In this book, it really seems like the story is coming to an end, instead here's still so much to read!!! Gris, the bad guy, who has been narrating so far, is now now longer in the right position to keep narrating, nor does he know certain aspects of how the story develops, so the writer, very surprisingly, switches narrator! It's hard to get accustomed to a new one, after having read 7 and half book narrated by Soltan Gris, with his dark humor and so on, this narrator is completely different... but I don't want to spoil the surprise. Let's just say that this narrator, thought in a different way and with a different writing style, can still tell you what happened! and keep you glued to the book! I cannot wait to get the next 2 volumes in the mail!",1
Antec TriCool 120mm fan...does what it says it does,"Works fine, 3-speed control to set as u wish. It's not a PWM fan so don't expect to use it with PWM 4-pin headers, but it works a treat otherwise with 3-pin headers (set to highest speed setting first if you're using onboard speed management via bios.)",1
Author should have chosen original title!,"I'm so annoyed - I bought this book thinking it was the other, the *original*, Baby Bargains, and was confused after reading through tip after tip about looking for sales and going to thrift stores. To me, it seems the author is blatantly trying to make money off another book's success. It does have some useful websites, but I wouldn't waste money on the book to get them.",0
Simply silly,"What Tammy overlooks is that the Executive, Legislative and Judicial brances of government, as well as the media, are controlled by the right, not the left. Instead of trying to divide America we should all be working to unite it. Hate sells books, but it is destroying our country.",0
The product was good. It malfunctioned. Support was sorry.,"I loved the TV until it developed a mottled horizontal stripe about 3/4"" at random vertical locations. I called Samsung support who said it was out of warranty going by the date code on the TV. I didn't agree. They told me they had no remedy for me other than a full cost repair estimated to be about half the initial cost of the TV. They suggested I write to the office of their President to plead for a concession on the cost of the repair. I got no response at all.So, now my attic is graced with a useless relic to remind me never again to buy a Samsung product. I guess they don't need my business.",0
Snookered,"Under Product Details the size is listed as 36 x 1 x 1 inches and further down the Amazon page under Product Description the size is listed as 3/16"". Do not buy this if you need a 36"" x 1"" diameter undergravel riser tube since they ship a 3/16"" outside diameter air hose tube, as described further down the page. The 36"" small tubes where coiled in a 20"" x 20"" bag and needed to be heated up to get them straight again.",0
Cute,"This is a cute book. My 4 year old really enjoys it. The younger kids like it too, but sometimes get a little bit bored.",1
Solid case.,"The green crushed velvet inside is a classy touch. Some glue that holds the velvet in was visible, but other than that, seems like a solid case. Heavy but sturdy. My boyfriend loved it for his acoustic.",1
It starts off good then....,"I received this coffee maker a year and half ago. It was the best one I'd ever owned. The filter is great, especially since I have a lot of chlorine in my water. The coffee was hot, tasted great, and I never had a problem until about a month ago. Slowly it started making less and less coffee, even though I used the same amount of water. Steam was leaking into the clock face, which is still full of water even though it's been unplugged for weeks now. It wouldn't turn off after pressing the button. All in all, it just went down hill fast. But, until a month ago I would've said don't buy any other maker...now I just don't know. After having read the reviews it seems mine lasted forever! Most were just a few months, and I got a year and half out of mine.",0
REVIEW,The book Chipper written by James Lincoln Collier is about an eleven year old boy called Chipper. But when Chipper was six his mom died because of consumption and he never had a father. After Chipper's mom died he went to live with his uncle and aunt. His uncle would always beat him for no reason until one day Chipper decided to run away. Then when Chipper turned ten he decided to join a gang. The gang is called the Midnight Rats. From there on he has to overcome his problems and try to survive.,1
Review of Olympic Marathoner Frank Shorter's LIfe,"Pretty good detail on Frank Shorter's rise from a pretty fair HS distance runner to a versatile athlete that could run national and world class 5Ks, 10Ks and marathons. He and Prefontaine kicked off the running boom. Shorter was part of the great USA running elite and central character in the outstanding Florida Track Club. Also, detail in his fight to establish more control of the American track athlete's rights to compete from the then AAU and the now TAC. Although I enjoyed the book I found it a bit choppy. It reminded me of a telling told in a series of interviews that sometimes overlap in detail. I think a greater collaberation would have been more effective if Kenny Moore (Sports Illustrated writer and 4th place USA finisher to Shorter's gold) wrote it with Shorter.",1
Did not even work.,"Received this product in new packaging, but joypad didn't even work. Wanted to send it back, but would have cost me six bucks to send back a seven dollar joypad. NOT HAPPY.",0
Held off buying this too long!,"Looked at this CD for years without buying - When I finally did, well worth the purchase - The sound quality is great and the music is without peer - Don't wait, buy!!!",1
Poor access,"Bought this for my daughter in Hawaii. Great way to keep in touch with friends and family, right. Wrong. She can get in maybe 8 sentences in an email if lucky and only to certain people. Friends who have urls other than aol or earthlink are out of luck. Her attempts at customer service have been fruitless, until she told them she was shipping it back to them. Then there was all kinds of help, but too late. Frustrating to her and to us. Now, it comes back to us to try and get our money back on it. Didn't get a rebate either. That's another story.",0
Cheaper at walmart,"I don't own this bench, im very tempted to get it or a no name brand at a local dunhams. I just wanted to mention wallmart has the sb222 pretty much the same thing for 38 bucks. I figured Id mention in to save some people a few bucks.",0
My favorite......,"I have read quite a few books over the past six months and so far, this is the best. It gave me such a good feeling and yes, it's a non-stop novel. I hated to put it down. I love the characters and storyline. Can't wait for the next one and would love to see this one as a movie. Keep writing gurl!",1
